batch_uuid,provider_name,recipient_bank_name,amount,transaction_status,last_update
009H7R7NRqNjQIgJyZH4Ah4W8p6a4Tb2KG3noKYJk,GHIPSS Instant Payment,Stanbic,5000.00,PAID,2019-09-02 18:03:08.233798+00
0EHQ5JFi52Rnk2WElOH26whjzw8cfXqCKMEbHRqH4,ADB Mobile Money Transfer,Vodafone Cash,1.00,PAID,2019-07-30 02:48:09.151676+00
0EHQ5JFi52Rnk2WElOH26whjzw8cfXqCKMEbHRqH4,ADB Mobile Money Transfer,MTN Mobile Money,1.00,PAID,2019-07-30 02:48:09.138285+00
0eMCYO17LiQO6G5Q51PLuIW92LCucGqL6h7Tu3VKzM,ADB Mobile Money Transfer,MTN Mobile Money,1.00,PAID,2019-07-02 11:14:07.326351+00
0Er0cSmT1FRJw27df6DGXix7yWPUDfSeYcWnz9jvfM,GHIPSS Instant Payment,Standard Chartered Bank,1000.00,PAID,2019-08-22 15:31:39.247304+00
0jzlo5P7RPiJPp44oGCs5MZYVSUnQAR3lv46jt2y4,ADB Internal Transfer,ADB,5.00,PENDING,2019-06-29 21:09:28.988993+00
0v4uNKAQik9QcVUdvzFgaifitQ0TiCBUWBcRwvVw,GHIPSS Instant Payment,Standard Chartered Bank,2700.00,APPROVAL PENDING,2019-07-28 08:24:08.716475+00
0ZMbmUWiYMvHtSiElfuERB48IGf82g9SLR4kfT2PUrk,GHIPSS Instant Payment,Stanbic,5000.00,PAID,2019-08-06 15:23:08.580109+00
16WXZKLIEe5meDbRfFxCBY51pzjTpZWlX0ZXnOFlE,ADB Mobile Money Transfer,MTN Mobile Money,500.00,PAID,2019-07-28 09:12:34.326826+00
178Hg0lWVBGJPaH08GklNlu43ghGZYv0huwJUiTprQg,ADB Mobile Money Transfer,Vodafone Cash,405.00,PAID,2019-09-09 12:27:13.282051+00
1dduWg9erwDwgXyqUZlxc162LFQEByZ62vd3DDxT8,GHIPSS Instant Payment,Stanbic,5000.00,PAID,2019-09-16 11:28:08.418495+00
1IwRtdf05PYhPTVj7kb5GbQ7tKhqJXTnikXMUCK7eY,GHIPSS Instant Payment,Stanbic,5000.00,PAID,2019-08-16 09:49:25.217837+00
1MkIIpPoZXAEWodkEKroxgUY0UpGHBRI9SvHrpfniLk,ADB Mobile Money Transfer,MTN Mobile Money,626.20,REJECTED,2019-07-22 12:31:38.888641+00
1SFh8xQUgCMvRW5FGTTiT46eXxGpxSGvyBffI2zS8,GHIPSS Instant Payment,Stanbic,5000.00,PAID,2019-09-19 16:48:06.41562+00
29E2DGI0UpwexyHWsNXaIo0YNwXRTHNS2YLIxFjJ2Y,GHIPSS Instant Payment,Stanbic,5.00,PAID,2019-08-17 14:56:33.597849+00
2bWdZWEgKfi9W8LOFyPFz5gE2nIpouZ4jTv33n6M,GHIPSS Instant Payment,Standard Chartered Bank,500.00,PAID,2019-08-14 16:54:55.985705+00
2dXSAjU4tdWCLFpitkGF2OIMFEx8kiOPUpSENo3lDDE,GHIPSS Instant Payment,Stanbic,5000.00,FAILED,2019-07-31 11:52:40.319741+00
2dZVLO8kySAxcruPF7BMoJBko6ykb2bErI1RhHV1hQ,ACH,Stanbic,40113.12,ACH PENDING,2019-09-02 17:12:27.333219+00
2dZVLO8kySAxcruPF7BMoJBko6ykb2bErI1RhHV1hQ,ACH,HFC,32630.77,ACH PENDING,2019-09-02 17:12:27.359848+00
2dZVLO8kySAxcruPF7BMoJBko6ykb2bErI1RhHV1hQ,ACH,Royal Bank,34000.19,ACH PENDING,2019-09-02 17:12:27.278599+00
2dZVLO8kySAxcruPF7BMoJBko6ykb2bErI1RhHV1hQ,ACH,Ecobank,29627.43,ACH PENDING,2019-09-02 17:12:27.306923+00
2dZVLO8kySAxcruPF7BMoJBko6ykb2bErI1RhHV1hQ,ACH,Fidelity Bank,27046.69,ACH PENDING,2019-09-02 17:12:27.386089+00
2dZVLO8kySAxcruPF7BMoJBko6ykb2bErI1RhHV1hQ,ACH,Ecobank,15477.81,ACH PENDING,2019-09-02 17:12:27.373014+00
2dZVLO8kySAxcruPF7BMoJBko6ykb2bErI1RhHV1hQ,ACH,UBA,5941.41,ACH PENDING,2019-09-02 17:12:27.319781+00
2dZVLO8kySAxcruPF7BMoJBko6ykb2bErI1RhHV1hQ,ACH,OmniBank,13601.31,ACH PENDING,2019-09-02 17:12:27.346784+00
2EcobCuKXOQ9qgwbxzDaireooBZaXeFqX0W3htqgjE,ADB Internal Transfer,ADB,200066.34,PAID,2019-09-02 12:36:31.245156+00
2l4pI5wM6quuUiTWNbuZX33N4IzpneQMKkRpEuFrVU,GHIPSS Instant Payment,Ecobank,1.00,REJECTED,2019-07-02 12:57:49.746369+00
2VjiHhDrFRLkDvNjGaLL2e3PJnZHgH2PMYNzQfndY,ADB Internal Transfer,ADB,1.00,PENDING,2019-07-09 08:35:40.301938+00
2WEn1Eew6dmn4i43kl6tChV4RCErCSidJNWSYuqMU,GHIPSS Instant Payment,Standard Chartered Bank,2700.00,APPROVAL PENDING,2019-07-27 19:42:03.827222+00
